PeahenID,DS_Value,Rank,Weight,lum.avg.side,hueUV.avg.side,hueRGB.avg.side,chroma.avg.side,lum.avg.back,hueUV.avg.back,hueRGB.avg.back,chroma.avg.back,lum.avg.front,hueUV.avg.front,hueRGB.avg.front,chroma.avg.front,lum.avg.pooled,hueUV.avg.pooled,hueRGB.avg.pooled,chroma.avg.pooled,hueUV.avg.back.side,lum.avg.back.side
P26,0.499,11,4165,0.154845811,-0.757943601,1.810329903,0.40456033,0.105511922,-0.816211386,2.032049186,0.329402033,0.041401703,-0.427804243,1.926095305,0.200819584,0.114151312,-0.689975708,1.894701075,0.334835569,-0.787077494,0.130178867
P27,220.02358,2,3605,0.09465861,-0.751088347,1.672134854,0.446913776,0.109620825,-0.746299308,1.871001964,0.426514982,0.059954869,-0.635703082,1.983429009,0.357321951,0.089723229,-0.721044771,1.79967517,0.419416121,-0.748693828,0.102139718
P31,282.23659,1,3800,0.091931998,-0.766696019,1.763415909,0.387104294,0.091792275,-1.011465278,1.128862671,0.370677109,0.035773039,-0.822236076,1.397883779,0.289150047,0.077857327,-0.841773348,1.513394567,0.358508936,-0.889080649,0.091862137
P32,102.74914,7,4190,0.097825528,-0.721309119,2.009408478,0.409155191,0.102919889,-0.799538355,2.001984285,0.348962137,0.074055308,-0.548054429,2.389653704,0.366375972,0.093156563,-0.697552756,2.102613736,0.383412123,-0.760423737,0.100372709
P33,64.44914,8,3935,0.084563096,-0.819668865,2.057533511,0.336758351,0.048574604,-0.819865202,0.310453141,0.218737079,0.063374857,-0.692480834,1.943563465,0.344518641,0.070268913,-0.787920941,1.592270907,0.309193105,-0.819767034,0.06656885
P35,156.50014,5,4025,0.104122268,-0.696097566,1.725066926,0.471331373,0.099762898,-0.747057457,1.655167752,0.45831629,0.110740134,-0.602828026,2.130748342,0.382004999,0.104686892,-0.685520154,1.809012486,0.445746009,-0.721577512,0.101942583
P36,-42.501,16,4045,0.061561,-0.761912675,1.612984994,0.385121926,0.037556945,-1.100254147,1.300885115,0.251321199,0.046606941,-0.675092457,2.136978971,0.302405746,0.051821471,-0.824792989,1.665958519,0.330992699,-0.931083411,0.049558973
P39,40.749,10,3965,0.052022676,-0.723948288,2.265767615,0.247008704,0.080912708,-0.843035257,2.149298517,0.308451727,0.051379749,-0.586649226,2.529761457,0.246433561,0.059084452,-0.719395265,2.302648801,0.262225674,-0.783491773,0.066467692
P40,-98.861,20,4565,0.091823822,-0.737967597,1.531761525,0.369744593,0.066731087,-0.92724326,1.662400572,0.327446238,0.073372183,-0.720716851,1.97043385,0.365083753,0.08046442,-0.782843662,1.680277535,0.357494368,-0.832605429,0.079277455
P41,-172.031,22,4360,0.067107001,-0.860353661,1.261573211,0.277829172,0.051548669,-0.993957833,0.879843369,0.229364877,0.041309223,-0.66414912,2.483772247,0.174636079,0.056767973,-0.844703569,1.47169051,0.239914825,-0.927155747,0.059327835
P43,-93.501,19,3895,0.086453111,-0.810400955,1.571936201,0.372758029,0.092050407,-0.815600839,1.788592962,0.373402747,0.056042823,-0.693712159,1.934310458,0.34096123,0.080249863,-0.782528727,1.716693956,0.364970009,-0.813000897,0.089251759
P5,179.249,3,3635,0.082576447,-0.849159669,1.533544745,0.370220177,0.104020931,-0.884454178,1.582646633,0.358153951,0.06579201,-0.723243428,1.772807233,0.342668462,0.083741459,-0.826504236,1.605635839,0.360315692,-0.866806924,0.093298689
P56,-149.75075,21,4530,0.048387085,-0.73139309,1.799509808,0.274100791,0.049577363,-0.954998004,1.529747473,0.260777189,0.04147112,-0.658174189,2.22198689,0.288474174,0.046955663,-0.768989593,1.837688495,0.274363236,-0.843195547,0.048982224
P58,151.749,6,3910,0.079948664,-0.743765821,1.973105128,0.350385808,0.101496215,-0.821976346,1.738999425,0.459389345,0.059009131,-0.664207029,2.088064576,0.3654575,0.080100668,-0.743428754,1.943318564,0.381404615,-0.782871084,0.09072244
